대여일자,대여건수
2022-01-01,29181
2022-01-02,28912
2022-01-03,53569
2022-01-04,56342
2022-01-05,57409
2022-01-06,59711
2022-01-07,60419
2022-01-08,45362
2022-01-09,38304
2022-01-10,58702
2022-01-11,39710
2022-01-12,45299
2022-01-13,43878
2022-01-14,50083
2022-01-15,41819
2022-01-16,32432
2022-01-17,36601
2022-01-18,46012
2022-01-19,27098
2022-01-20,41566
2022-01-21,51216
2022-01-22,44301
2022-01-23,41697
2022-01-24,63888
2022-01-25,47987
2022-01-26,63239
2022-01-27,59402
2022-01-28,56144
2022-01-29,38020
2022-01-30,31890
2022-01-31,29552
2022-02-01,14211
2022-02-02,28739
2022-02-03,46837
2022-02-04,45780
2022-02-05,31339
2022-02-06,31078
2022-02-07,52449
2022-02-08,58923
2022-02-09,62890
2022-02-10,64924
2022-02-11,66996
2022-02-12,58537
2022-02-13,52387
2022-02-14,46765
2022-02-15,47750
2022-02-16,42514
2022-02-17,46190
2022-02-18,56950
2022-02-19,39652
2022-02-20,30846
2022-02-21,48678
2022-02-22,48394
2022-02-23,47231
2022-02-24,53732
2022-02-25,61566
2022-02-26,38402
2022-02-27,52956
2022-02-28,72537
2022-03-01,49744
2022-03-02,70623
2022-03-03,77694
2022-03-04,72962
2022-03-05,55987
2022-03-06,53873
2022-03-07,72074
2022-03-08,81165
2022-03-09,88620
2022-03-10,86428
2022-03-11,97273
2022-03-12,80689
2022-03-13,37567
2022-03-14,48376
2022-03-15,90264
2022-03-16,98143
2022-03-17,76279
2022-03-18,77850
2022-03-19,33485
2022-03-20,67392
2022-03-21,84749
2022-03-22,96039
2022-03-23,86790
2022-03-24,94919
2022-03-25,80402
2022-03-26,61903
2022-03-27,86813
2022-03-28,104272
2022-03-29,112838
2022-03-30,87821
2022-03-31,110518
2022-04-01,117323
2022-04-02,107291
2022-04-03,111339
2022-04-04,117633
2022-04-05,122835
2022-04-06,127788
2022-04-07,126778
2022-04-08,143527
2022-04-09,147989
2022-04-10,150867
2022-04-11,151731
2022-04-12,118987
2022-04-13,92076
2022-04-14,122640
2022-04-15,141269
2022-04-16,134227
2022-04-17,129912
2022-04-18,139211
2022-04-19,144427
2022-04-20,148057
2022-04-21,149026
2022-04-22,129254
2022-04-23,146553
2022-04-24,133068
2022-04-25,129809
2022-04-26,152345
2022-04-27,156132
2022-04-28,157026
2022-04-29,115307
2022-04-30,125559
2022-05-01,123796
2022-05-02,155843
2022-05-03,161619
2022-05-04,169341
2022-05-05,161553
2022-05-06,167567
2022-05-07,143352
2022-05-08,83441
2022-05-09,165606
2022-05-10,171946
2022-05-11,172158
2022-05-12,173690
2022-05-13,173847
2022-05-14,147963
2022-05-15,146353
2022-05-16,169999
2022-05-17,174642
2022-05-18,147816
2022-05-19,171326
2022-05-20,177429
2022-05-21,158912
2022-05-22,149196
2022-05-23,169228
2022-05-24,176919
2022-05-25,134166
2022-05-26,172666
2022-05-27,183653
2022-05-28,164351
2022-05-29,148783
2022-05-30,161523
2022-05-31,183503
2022-06-01,171642
2022-06-02,177572
2022-06-03,180750
2022-06-04,157484
2022-06-05,126409
