,date,bus_total_passenger,bus_commute_passenger,bus_other_passenger,train_total_passenger,train_commute_passenger,train_other_passenger,fine_dust(㎍/㎥),avg_temp,min_temp,max_temp,precipitation(mm),snow_depth(mm),season,year,fd_grade,p_grade,s_grade,at_grade,day_type
365,2022-01-01,1858954.0,519623.0,1339331.0,1792725.0,502533.0,1290192.0,34.0,-4.3,-10.2,2.3,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekend
366,2022-01-02,2048632.0,579340.0,1469292.0,2053208.0,608212.0,1444996.0,42.0,-1.3,-5.2,3.0,0.3,5.0,Winter,2022,Normal,Light,Light_Snow,Cold,Weekend
367,2022-01-03,4028715.0,1793953.0,2234762.0,4487668.0,2285899.0,2201769.0,28.0,-1.9,-8.0,2.5,0.0,0.0,Winter,2022,Good,Dry,No_Snow,Cold,Weekday
368,2022-01-04,4151012.0,1823826.0,2327186.0,4648008.0,2316071.0,2331937.0,37.0,-2.5,-5.6,1.0,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday
369,2022-01-05,4151012.0,1823826.0,2327186.0,4648008.0,2316071.0,2331937.0,52.0,-2.8,-7.8,1.9,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday
370,2022-01-06,4177543.0,1795441.0,2382102.0,4721856.0,2294838.0,2427018.0,59.0,-2.2,-5.9,3.3,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday
371,2022-01-07,4246366.0,1777711.0,2468655.0,4854826.0,2275643.0,2579183.0,65.0,-1.6,-5.9,4.5,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday
372,2022-01-08,2950172.0,845937.0,2104235.0,3198528.0,915337.0,2283191.0,70.0,0.3,-5.0,3.7,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Mild,Weekend
373,2022-01-09,2133394.0,610449.0,1522945.0,2234015.0,657046.0,1576969.0,129.0,1.3,-1.2,5.6,0.0,0.0,Winter,2022,Bad,Dry,No_Snow,Mild,Weekend
374,2022-01-10,4152322.0,1809881.0,2342441.0,4678415.0,2321982.0,2356433.0,97.0,0.5,-3.4,4.4,0.9,9.0,Winter,2022,Bad,Light,Light_Snow,Mild,Weekday
375,2022-01-11,4210808.0,1863989.0,2346819.0,4746850.0,2357572.0,2389278.0,33.0,-7.4,-10.3,0.3,0.2,10.0,Winter,2022,Normal,Light,Light_Snow,Cold,Weekday
376,2022-01-12,4148672.0,1821730.0,2326942.0,4696356.0,2310513.0,2385843.0,27.0,-7.7,-11.3,-3.4,0.0,2.0,Winter,2022,Good,Dry,Light_Snow,Cold,Weekday
