,date,bus_total_passenger,bus_commute_passenger,bus_other_passenger,train_total_passenger,train_commute_passenger,train_other_passenger,fine_dust(㎍/㎥),avg_temp,min_temp,max_temp,precipitation(mm),snow_depth(mm),season,year,fd_grade,p_grade,s_grade,at_grade,day_type,total_other,other_category
365,2022-01-01,5.826342409685054,2.9788599132497993,7.700856931287863,5.523159708154857,2.901518967032948,7.726163364093676,4.0,11.18279569892473,7.802197802197805,12.11111111111111,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekend,11.349502117839911,Low
366,2022-01-02,8.234377062999563,4.594119855495675,10.570121812559584,8.132756920342079,5.086455498243846,10.636458285158668,5.230769230769231,14.408602150537632,13.2967032967033,12.88888888888889,0.0851305334846765,1.8115942028985508,Winter,2022,Normal,Light,Light_Snow,Cold,Weekend,16.367133983341642,Low
367,2022-01-03,33.37228699688201,37.44767452554089,27.47008556066144,32.521911027064235,39.773002629060926,24.86369154979728,3.0769230769230775,13.763440860215052,10.219780219780223,12.333333333333332,0.0,0.0,Winter,2022,Good,Dry,No_Snow,Cold,Weekday,65.89419802394625,Medium
368,2022-01-04,34.92489412051472,38.25569670104721,29.510612621754056,34.12824547884074,40.396815354575885,27.31083289811636,4.461538461538462,13.118279569892472,12.857142857142861,10.666666666666666,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday,69.05313959935546,Medium
369,2022-01-05,34.92489412051472,38.25569670104721,29.510612621754056,34.12824547884074,40.396815354575885,27.31083289811636,6.769230769230769,12.795698924731182,10.439560439560443,11.666666666666666,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday,69.05313959935546,Medium
370,2022-01-06,35.261715298443036,37.48792280984958,30.723042121526433,34.8680770030692,39.95781841698941,29.098343242744278,7.846153846153846,13.440860215053762,12.52747252747253,13.222222222222221,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday,70.12979230151224,Medium
371,2022-01-07,36.13544956886483,37.008351518994054,32.63394988053653,36.20021054462292,39.56095757693043,31.959025309511638,8.76923076923077,14.086021505376342,12.52747252747253,14.555555555555555,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday,72.33566011348775,Medium
372,2022-01-08,19.67977168625141,11.80518964840094,24.58832459269602,19.606917917651966,11.436332315285519,26.39441448371987,9.53846153846154,16.129032258064516,13.51648351648352,13.666666666666668,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Mild,Weekend,39.286689603903376,Low
373,2022-01-09,9.310463025969675,5.435574073613246,11.754666935133827,9.944135947548983,6.096109171775514,13.117533397027287,18.615384615384617,17.204301075268816,17.692307692307697,15.777777777777779,0.0,0.0,Winter,2022,Bad,Dry,No_Snow,Mild,Weekend,19.254598973518657,Low
374,2022-01-10,34.94152507084023,37.87850427854409,29.847410859408427,34.432871970515734,40.519026577581286,27.77135448920192,13.692307692307693,16.344086021505376,15.274725274725277,14.444444444444445,0.25539160045402953,3.260869565217391,Winter,2022,Bad,Light,Light_Snow,Mild,Weekday,69.37439704135596,Medium
