,date,fine_dust(㎍/㎥),avg_temp,min_temp,max_temp,precipitation(mm),snow_depth(mm),day_type,season,year,fd_grade,p_grade,s_grade,at_grade
0,2021-01-01,36.0,-4.2,-9.8,1.6,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,Cold
1,2021-01-02,43.0,-5.0,-8.4,-1.4,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,Cold
2,2021-01-03,47.0,-5.6,-9.1,-2.0,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,Cold
3,2021-01-04,50.0,-3.5,-8.4,0.3,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,Cold
4,2021-01-05,37.0,-5.5,-9.9,-2.1,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,Cold
5,2021-01-06,30.0,-7.4,-12.0,-1.9,2.3,38.0,Weekday,Winter,2021,Good,Light,Moderate_Snow,Cold
6,2021-01-07,56.0,-14.5,-16.5,-8.4,0.0,33.0,Weekday,Winter,2021,Normal,Dry,Moderate_Snow,Very_Cold
7,2021-01-08,27.0,-14.9,-18.6,-10.7,0.0,11.0,Weekday,Winter,2021,Good,Dry,Light_Snow,Very_Cold
8,2021-01-09,33.0,-12.2,-16.6,-7.5,0.0,10.0,Weekend,Winter,2021,Normal,Dry,Light_Snow,Very_Cold
9,2021-01-10,48.0,-7.7,-12.8,-2.7,0.0,7.0,Weekend,Winter,2021,Normal,Dry,Light_Snow,Cold
10,2021-01-11,63.0,-6.7,-9.6,-4.0,0.0,4.0,Weekday,Winter,2021,Normal,Dry,Light_Snow,Cold
11,2021-01-12,88.0,-3.9,-9.3,-0.5,2.6,51.0,Weekday,Winter,2021,Bad,Light,Moderate_Snow,Cold
12,2021-01-13,146.0,2.0,-3.0,8.3,0.0,50.0,Weekday,Winter,2021,Bad,Dry,Moderate_Snow,Mild
13,2021-01-14,100.0,1.7,-3.6,7.0,0.0,0.0,Weekday,Winter,2021,Bad,Dry,No_Snow,Mild
14,2021-01-15,109.0,4.5,-0.7,9.9,0.2,0.0,Weekday,Winter,2021,Bad,Light,No_Snow,Mild
15,2021-01-16,69.0,-4.9,-8.7,-0.7,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,Cold
16,2021-01-17,29.0,-5.5,-10.8,-1.3,0.0,1.0,Weekend,Winter,2021,Good,Dry,Light_Snow,Cold
17,2021-01-18,53.0,-3.8,-9.1,0.2,0.3,10.0,Weekday,Winter,2021,Normal,Light,Light_Snow,Cold
