,Date,Fine_dust(㎍/㎥),Precipitation(mm),Snow_depth(cm),Day_type,Season,Year,FD_Grade,P_Grade,S_Grade,Snow_depth(mm)
0,2021-01-01,36.0,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,0.0
1,2021-01-02,43.0,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,0.0
2,2021-01-03,47.0,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,0.0
3,2021-01-04,50.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
4,2021-01-05,37.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
5,2021-01-06,30.0,2.3,3.8,Weekday,Winter,2021,Good,Light,Moderate_Snow,38.0
6,2021-01-07,56.0,0.0,3.3,Weekday,Winter,2021,Normal,Dry,Moderate_Snow,33.0
7,2021-01-08,27.0,0.0,1.1,Weekday,Winter,2021,Good,Dry,Light_Snow,11.0
8,2021-01-09,33.0,0.0,1.0,Weekend,Winter,2021,Normal,Dry,Light_Snow,10.0
9,2021-01-10,48.0,0.0,0.7,Weekend,Winter,2021,Normal,Dry,Light_Snow,7.0
10,2021-01-11,63.0,0.0,0.4,Weekday,Winter,2021,Normal,Dry,Light_Snow,4.0
11,2021-01-12,88.0,2.6,5.1,Weekday,Winter,2021,Bad,Light,Moderate_Snow,51.0
12,2021-01-13,146.0,0.0,5.0,Weekday,Winter,2021,Bad,Dry,Moderate_Snow,50.0
13,2021-01-14,100.0,0.0,0.0,Weekday,Winter,2021,Bad,Dry,No_Snow,0.0
14,2021-01-15,109.0,0.2,0.0,Weekday,Winter,2021,Bad,Light,No_Snow,0.0
15,2021-01-16,69.0,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,0.0
16,2021-01-17,29.0,0.0,0.1,Weekend,Winter,2021,Good,Dry,Light_Snow,1.0
17,2021-01-18,53.0,0.3,1.0,Weekday,Winter,2021,Normal,Light,Light_Snow,10.0
18,2021-01-19,43.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
19,2021-01-20,59.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
20,2021-01-21,72.0,9.2,0.0,Weekday,Winter,2021,Normal,Light,No_Snow,0.0
21,2021-01-22,71.0,0.1,0.0,Weekday,Winter,2021,Normal,Light,No_Snow,0.0
22,2021-01-23,46.64150943396226,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,0.0
23,2021-01-24,20.0,0.0,0.0,Weekend,Winter,2021,Good,Dry,No_Snow,0.0
24,2021-01-25,34.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
25,2021-01-26,70.0,1.7,0.0,Weekday,Winter,2021,Normal,Light,No_Snow,0.0
26,2021-01-27,50.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
27,2021-01-28,51.0,2.0,3.6,Weekday,Winter,2021,Normal,Light,Moderate_Snow,36.0
28,2021-01-29,32.0,0.0,0.7,Weekday,Winter,2021,Normal,Dry,Light_Snow,7.0
29,2021-01-30,74.0,0.5,0.8,Weekend,Winter,2021,Normal,Light,Light_Snow,8.0
30,2021-01-31,75.0,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,0.0
31,2021-02-01,99.0,0.7,0.0,Weekday,Winter,2021,Bad,Light,No_Snow,0.0
32,2021-02-02,39.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
33,2021-02-03,49.0,3.4,4.2,Weekday,Winter,2021,Normal,Light,Moderate_Snow,42.0
34,2021-02-04,35.0,0.1,4.3,Weekday,Winter,2021,Normal,Light,Moderate_Snow,43.0
35,2021-02-05,41.0,0.0,1.4,Weekday,Winter,2021,Normal,Dry,Light_Snow,14.0
36,2021-02-06,108.0,0.0,0.0,Weekend,Winter,2021,Bad,Dry,No_Snow,0.0
37,2021-02-07,118.0,0.0,0.0,Weekend,Winter,2021,Bad,Dry,No_Snow,0.0
38,2021-02-08,34.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
39,2021-02-09,31.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
40,2021-02-10,56.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
41,2021-02-11,106.0,0.0,0.0,Weekend,Winter,2021,Bad,Dry,No_Snow,0.0
42,2021-02-12,123.0,0.0,0.0,Weekend,Winter,2021,Bad,Dry,No_Snow,0.0
43,2021-02-13,116.0,0.0,0.0,Weekend,Winter,2021,Bad,Dry,No_Snow,0.0
44,2021-02-14,115.0,0.0,0.0,Weekend,Winter,2021,Bad,Dry,No_Snow,0.0
45,2021-02-15,78.0,1.4,0.0,Weekday,Winter,2021,Normal,Light,No_Snow,0.0
46,2021-02-16,36.0,1.5,1.1,Weekday,Winter,2021,Normal,Light,Light_Snow,11.0
47,2021-02-17,64.0,0.0,0.9,Weekday,Winter,2021,Normal,Dry,Light_Snow,9.0
48,2021-02-18,58.0,0.0,0.2,Weekday,Winter,2021,Normal,Dry,Light_Snow,2.0
49,2021-02-19,67.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
50,2021-02-20,99.0,0.0,0.0,Weekend,Winter,2021,Bad,Dry,No_Snow,0.0
51,2021-02-21,108.0,0.0,0.0,Weekend,Winter,2021,Bad,Dry,No_Snow,0.0
52,2021-02-22,69.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
53,2021-02-23,69.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
54,2021-02-24,66.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
55,2021-02-25,73.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
56,2021-02-26,42.0,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
57,2021-02-27,23.0,0.0,0.0,Weekend,Winter,2021,Good,Dry,No_Snow,0.0
58,2021-02-28,32.0,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,0.0
