,Date,Fine_dust(㎍/㎥),Precipitation(mm),Snow_depth(cm),Day_type,Season,Year,FD_Grade,P_Grade,S_Grade,Snow_depth(mm)
0,2021-01-01,0.07349081364829396,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,0.0
1,2021-01-02,0.09186351706036745,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,0.0
2,2021-01-03,0.10236220472440945,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,0.0
3,2021-01-04,0.11023622047244094,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
4,2021-01-05,0.07611548556430446,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
5,2021-01-06,0.05774278215223097,0.013053348467650399,3.8,Weekday,Winter,2021,Good,Light,Moderate_Snow,0.2753623188405797
6,2021-01-07,0.12598425196850394,0.0,3.3,Weekday,Winter,2021,Normal,Dry,Moderate_Snow,0.2391304347826087
7,2021-01-08,0.049868766404199474,0.0,1.1,Weekday,Winter,2021,Good,Dry,Light_Snow,0.07971014492753624
8,2021-01-09,0.06561679790026247,0.0,1.0,Weekend,Winter,2021,Normal,Dry,Light_Snow,0.07246376811594203
9,2021-01-10,0.10498687664041995,0.0,0.7,Weekend,Winter,2021,Normal,Dry,Light_Snow,0.050724637681159424
10,2021-01-11,0.1443569553805774,0.0,0.4,Weekday,Winter,2021,Normal,Dry,Light_Snow,0.028985507246376812
11,2021-01-12,0.2099737532808399,0.01475595913734393,5.1,Weekday,Winter,2021,Bad,Light,Moderate_Snow,0.3695652173913044
12,2021-01-13,0.36220472440944884,0.0,5.0,Weekday,Winter,2021,Bad,Dry,Moderate_Snow,0.36231884057971014
13,2021-01-14,0.24146981627296588,0.0,0.0,Weekday,Winter,2021,Bad,Dry,No_Snow,0.0
14,2021-01-15,0.2650918635170604,0.001135073779795687,0.0,Weekday,Winter,2021,Bad,Light,No_Snow,0.0
15,2021-01-16,0.16010498687664043,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,0.0
