,date,avg_temp,min_temp,max_temp,day_type,season,year,at_grade
0,2021-01-01,-4.2,-9.8,1.6,Weekend,Winter,2021,cold
1,2021-01-02,-5.0,-8.4,-1.4,Weekend,Winter,2021,cold
2,2021-01-03,-5.6,-9.1,-2.0,Weekend,Winter,2021,cold
3,2021-01-04,-3.5,-8.4,0.3,Weekday,Winter,2021,cold
4,2021-01-05,-5.5,-9.9,-2.1,Weekday,Winter,2021,cold
5,2021-01-06,-7.4,-12.0,-1.9,Weekday,Winter,2021,cold
6,2021-01-07,-14.5,-16.5,-8.4,Weekday,Winter,2021,very_cold
7,2021-01-08,-14.9,-18.6,-10.7,Weekday,Winter,2021,very_cold
8,2021-01-09,-12.2,-16.6,-7.5,Weekend,Winter,2021,very_cold
9,2021-01-10,-7.7,-12.8,-2.7,Weekend,Winter,2021,cold
10,2021-01-11,-6.7,-9.6,-4.0,Weekday,Winter,2021,cold
11,2021-01-12,-3.9,-9.3,-0.5,Weekday,Winter,2021,cold
12,2021-01-13,2.0,-3.0,8.3,Weekday,Winter,2021,mild
13,2021-01-14,1.7,-3.6,7.0,Weekday,Winter,2021,mild
14,2021-01-15,4.5,-0.7,9.9,Weekday,Winter,2021,mild
15,2021-01-16,-4.9,-8.7,-0.7,Weekend,Winter,2021,cold
16,2021-01-17,-5.5,-10.8,-1.3,Weekend,Winter,2021,cold
17,2021-01-18,-3.8,-9.1,0.2,Weekday,Winter,2021,cold
18,2021-01-19,-6.3,-11.6,-0.2,Weekday,Winter,2021,cold
19,2021-01-20,-0.1,-6.6,7.1,Weekday,Winter,2021,cold
20,2021-01-21,4.5,2.5,7.0,Weekday,Winter,2021,mild
21,2021-01-22,5.5,4.8,6.6,Weekday,Winter,2021,mild
22,2021-01-23,7.6,4.8,12.2,Weekend,Winter,2021,mild
23,2021-01-24,7.3,2.4,13.9,Weekend,Winter,2021,mild
24,2021-01-25,7.9,3.0,13.9,Weekday,Winter,2021,mild
25,2021-01-26,5.3,1.7,7.4,Weekday,Winter,2021,mild
26,2021-01-27,1.7,-1.8,6.5,Weekday,Winter,2021,mild
27,2021-01-28,-2.6,-9.7,1.4,Weekday,Winter,2021,cold
28,2021-01-29,-8.8,-11.6,-4.9,Weekday,Winter,2021,cold
29,2021-01-30,-1.6,-8.1,5.2,Weekend,Winter,2021,cold
30,2021-01-31,3.2,-3.8,8.7,Weekend,Winter,2021,mild
31,2021-02-01,5.0,-2.3,9.5,Weekday,Winter,2021,mild
32,2021-02-02,-5.6,-8.2,-2.4,Weekday,Winter,2021,cold
33,2021-02-03,-3.2,-9.4,1.4,Weekday,Winter,2021,cold
34,2021-02-04,-3.6,-7.4,0.7,Weekday,Winter,2021,cold
35,2021-02-05,1.4,-4.4,6.7,Weekday,Winter,2021,mild
36,2021-02-06,6.8,4.3,9.5,Weekend,Winter,2021,mild
37,2021-02-07,3.6,-2.6,7.7,Weekend,Winter,2021,mild
38,2021-02-08,-3.1,-5.4,0.2,Weekday,Winter,2021,cold
39,2021-02-09,-0.9,-6.1,4.7,Weekday,Winter,2021,cold
40,2021-02-10,3.4,-1.5,7.2,Weekday,Winter,2021,mild
41,2021-02-11,5.5,1.3,10.9,Weekend,Winter,2021,mild
42,2021-02-12,6.5,0.6,14.0,Weekend,Winter,2021,mild
43,2021-02-13,7.6,1.0,15.9,Weekend,Winter,2021,mild
44,2021-02-14,9.5,6.4,13.8,Weekend,Winter,2021,mild
45,2021-02-15,1.2,-5.2,8.2,Weekday,Winter,2021,mild
46,2021-02-16,-5.1,-7.0,-1.3,Weekday,Winter,2021,cold
47,2021-02-17,-8.3,-10.4,-5.2,Weekday,Winter,2021,cold
48,2021-02-18,-5.8,-10.6,-0.4,Weekday,Winter,2021,cold
49,2021-02-19,1.6,-7.1,8.9,Weekday,Winter,2021,mild
50,2021-02-20,8.8,5.5,14.9,Weekend,Winter,2021,mild
51,2021-02-21,10.8,4.7,17.4,Weekend,Winter,2021,mild
52,2021-02-22,7.8,0.4,12.6,Weekday,Winter,2021,mild
53,2021-02-23,0.0,-3.1,4.3,Weekday,Winter,2021,mild
54,2021-02-24,2.9,-3.0,10.1,Weekday,Winter,2021,mild
55,2021-02-25,4.2,0.7,8.2,Weekday,Winter,2021,mild
56,2021-02-26,8.2,0.5,15.8,Weekday,Winter,2021,mild
57,2021-02-27,9.5,4.3,16.2,Weekend,Winter,2021,mild
58,2021-02-28,7.8,3.2,10.8,Weekend,Winter,2021,mild
59,2021-03-01,4.7,0.5,9.0,Weekend,Spring,2021,mild
60,2021-03-02,2.3,0.2,6.9,Weekday,Spring,2021,mild
61,2021-03-03,4.4,-1.2,9.9,Weekday,Spring,2021,mild
62,2021-03-04,7.2,2.5,13.0,Weekday,Spring,2021,mild
63,2021-03-05,9.0,3.0,16.2,Weekday,Spring,2021,mild
64,2021-03-06,6.6,3.2,11.6,Weekend,Spring,2021,mild
65,2021-03-07,6.2,2.1,12.2,Weekend,Spring,2021,mild
66,2021-03-08,7.0,1.5,13.9,Weekday,Spring,2021,mild
67,2021-03-09,6.6,2.1,12.2,Weekday,Spring,2021,mild
68,2021-03-10,8.8,1.7,17.1,Weekday,Spring,2021,mild
69,2021-03-11,10.2,4.7,17.1,Weekday,Spring,2021,mild
70,2021-03-12,10.5,7.2,14.9,Weekday,Spring,2021,mild
