grade,season,Max,Min,Mean,Variance,Count,Median,Q1,Q3,IQR,Skewness,Kurtosis,Range
good,Spring,30.0,11.0,24.26086956521739,24.372122762148333,69,25.0,23.0,28.0,5.0,-0.999747469410377,0.07733318642441667,19.0
good,Summer,30.0,8.0,21.8068669527897,26.83753884860146,233,22.0,18.0,26.0,8.0,-0.46901656836528816,-0.6239974466488483,22.0
good,Fall,30.0,9.0,20.984924623115578,31.09573118115832,199,21.0,17.0,26.0,9.0,-0.11406970588311596,-1.0207294641880011,21.0
good,Winter,30.0,11.0,23.825581395348838,23.086867305061553,86,24.0,21.25,28.0,6.75,-0.6069652651671446,-0.3978317717647024,19.0
normal,Spring,78.0,31.0,49.14222222222222,139.71182539682533,225,48.0,39.0,58.0,19.0,0.40498857620222023,-0.7179784460505978,47.0
normal,Summer,72.0,31.0,40.3109243697479,79.72454066372316,119,38.0,33.0,43.5,10.5,1.3390278821646893,1.292181854389451,41.0
normal,Fall,74.0,31.0,41.25471698113208,99.71545372866136,106,38.0,33.25,46.75,13.5,1.2848865654113812,1.0761227157354476,43.0
normal,Winter,79.0,31.0,48.0,193.28155339805812,207,44.0,36.0,58.5,22.5,0.6130210190801108,-0.8760520591829106,48.0
bad,Spring,148.0,81.0,107.12820512820512,264.4831309041835,39,105.0,94.0,117.0,23.0,0.4755531648291418,-0.45739613111476496,67.0
bad,Fall,140.0,92.0,111.33333333333333,641.3333333333333,3,102.0,97.0,121.0,24.0,0.585102402124019,-1.5,48.0
bad,Winter,146.0,81.0,106.04347826086956,249.0434782608696,23,106.0,97.0,115.5,18.5,0.539385913500021,0.150492885497576,65.0
very_bad,Spring,389.0,152.0,241.08333333333334,8340.446969696968,12,207.5,160.5,306.75,146.25,0.5302803986971386,-1.2667472892513865,237.0
very_bad,Winter,247.0,161.0,204.0,3698.0,2,204.0,182.5,225.5,43.0,0.0,-2.0,86.0
