grade,season,day_type,Max,Min,Mean,Variance,Count,Median,Q1,Q3,IQR,Skewness,Kurtosis,Range
good,Spring,weekday,30.0,13.0,24.604166666666668,24.457003546099294,48,26.0,22.75,28.25,5.5,-0.9292291655183496,-0.2106399997207875,17.0
good,Spring,weekend,30.0,11.0,23.476190476190474,24.461904761904762,21,25.0,23.0,26.0,3.0,-1.2353566190028273,0.6066435876565506,19.0
good,Summer,weekday,30.0,8.0,21.441717791411044,29.198742709990142,163,22.0,18.0,26.0,8.0,-0.4043044910927239,-0.7813035524638021,22.0
good,Summer,weekend,30.0,10.0,22.65714285714286,20.63436853002071,70,23.0,19.25,26.0,6.75,-0.5106155317243531,-0.3455408309663297,20.0
good,Fall,weekday,30.0,9.0,21.408,30.03380645161289,125,21.0,18.0,27.0,9.0,-0.1256350782559966,-1.0171585453410088,21.0
good,Fall,weekend,30.0,10.0,20.27027027027027,32.501295816364305,74,21.0,15.0,25.0,10.0,-0.07258855177354497,-1.0640547900515671,20.0
good,Winter,weekday,30.0,11.0,23.87272727272727,25.483501683501693,55,24.0,21.0,28.0,7.0,-0.6019570825393775,-0.3989950174655217,19.0
good,Winter,weekend,30.0,14.0,23.741935483870968,19.53118279569891,31,25.0,22.0,27.0,5.0,-0.6256778805389926,-0.5464701553745974,16.0
normal,Spring,weekday,78.0,31.0,49.58441558441559,140.24446142093197,154,48.5,40.0,58.75,18.75,0.3991081022547641,-0.6705284234466657,47.0
normal,Spring,weekend,75.0,31.0,48.183098591549296,139.1802816901408,71,47.0,38.0,58.0,20.0,0.42064910888272034,-0.8343005410555602,44.0
normal,Summer,weekday,65.0,31.0,40.397590361445786,71.70584778136939,83,38.0,33.0,45.0,12.0,0.9965421580143792,0.08880260938622975,34.0
normal,Summer,weekend,72.0,31.0,40.111111111111114,100.73015873015868,36,37.5,33.0,41.25,8.25,1.8134236131553838,2.6126890445890085,41.0
normal,Fall,weekday,74.0,31.0,41.61842105263158,104.37245614035086,76,38.5,33.0,47.0,14.0,1.2842439611529537,1.16842626249794,43.0
normal,Fall,weekend,64.0,31.0,40.333333333333336,89.88505747126436,30,37.5,34.0,44.0,10.0,1.2495030653854315,0.52567552540865,33.0
normal,Winter,weekday,78.0,31.0,47.87671232876713,186.02607463391595,146,46.0,35.0,57.5,22.5,0.5745052157566257,-0.8997637888249379,47.0
normal,Winter,weekend,79.0,31.0,48.295081967213115,213.91147540983602,61,43.0,36.0,60.0,24.0,0.6794413257549927,-0.8725007307776913,48.0
bad,Spring,weekday,148.0,81.0,107.6923076923077,352.9415384615384,26,104.0,91.5,126.25,34.75,0.44074515439321926,-0.9567586359602402,67.0
bad,Spring,weekend,118.0,88.0,106.0,100.16666666666667,13,105.0,104.0,116.0,12.0,-0.4988725554684149,-0.7209932973607498,30.0
bad,Fall,weekday,102.0,92.0,97.0,50.0,2,97.0,94.5,99.5,5.0,0.0,-2.0,10.0
bad,Fall,weekend,140.0,140.0,140.0,,1,140.0,140.0,140.0,0.0,,,0.0
bad,Winter,weekday,146.0,81.0,99.5,299.18181818181824,12,98.0,87.25,104.5,17.25,1.5837626834827851,2.4720157485942016,65.0
bad,Winter,weekend,129.0,97.0,113.18181818181819,111.36363636363635,11,115.0,107.0,120.5,13.5,-0.05243148555243297,-1.1140633402748856,32.0
very_bad,Spring,weekday,389.0,152.0,228.0909090909091,6946.290909090909,11,189.0,160.0,287.5,127.5,0.7366783427572096,-0.8588004499928985,237.0
very_bad,Spring,weekend,384.0,384.0,384.0,,1,384.0,384.0,384.0,0.0,,,0.0
very_bad,Winter,weekday,247.0,247.0,247.0,,1,247.0,247.0,247.0,0.0,,,0.0
very_bad,Winter,weekend,161.0,161.0,161.0,,1,161.0,161.0,161.0,0.0,,,0.0
