year,grade,day_type,Max,Min,Mean,Variance,Count,Median,Q1,Q3,IQR,Skewness,Kurtosis,Range
2021,good,weekday,30.0,9.0,21.825581395348838,25.98098495212041,86,22.0,18.25,26.0,7.75,-0.18970824097422198,-0.8438863728592354,21.0
2021,good,weekend,30.0,10.0,20.804878048780488,28.310975609756092,41,22.0,16.0,25.0,9.0,-0.22360621889813773,-0.9914448495274182,20.0
2021,normal,weekday,78.0,31.0,48.9485294117647,159.14547930283223,136,48.5,38.75,57.25,18.5,0.44735599589455366,-0.7803014559661507,47.0
2021,normal,weekend,75.0,31.0,47.0188679245283,169.4804063860668,53,42.0,37.0,57.0,20.0,0.7855072844868315,-0.6199539069625506,44.0
2021,bad,weekday,146.0,81.0,104.31818181818181,365.4653679653681,22,101.0,88.25,118.25,30.0,0.5821446665401037,-0.7912084743948005,65.0
2021,bad,weekend,140.0,99.0,113.5,115.90909090909093,12,111.5,106.75,117.25,10.5,1.135865666052511,1.1198339100346022,41.0
2021,very_bad,weekday,389.0,156.0,238.2,10441.7,5,189.0,159.0,298.0,139.0,0.6475266607227542,-1.2207010176180306,233.0
2021,very_bad,weekend,384.0,384.0,384.0,,1,384.0,384.0,384.0,0.0,,,0.0
2022,good,weekday,30.0,8.0,23.300884955752213,28.962231352718074,113,25.0,19.0,27.0,8.0,-0.7235607707854427,-0.41192507332734474,22.0
2022,good,weekend,30.0,10.0,22.244897959183675,24.93877551020408,49,23.0,20.0,26.0,6.0,-0.6902871337516462,-0.32971116428623004,20.0
2022,normal,weekday,77.0,31.0,44.23893805309734,130.20132743362822,113,41.0,34.0,52.0,18.0,0.8244271190901845,-0.3064505634071626,46.0
2022,normal,weekend,79.0,31.0,43.86440677966102,131.3261250730567,59,41.0,35.0,49.5,14.5,1.0697371843469676,0.4649165766300798,48.0
2022,bad,weekday,104.0,88.0,96.33333333333333,64.3333333333333,3,97.0,92.5,100.5,8.0,-0.1516410850629981,-1.5000000000000004,16.0
2022,bad,weekend,129.0,97.0,112.33333333333333,257.3333333333333,3,111.0,104.0,120.0,16.0,0.15164108506300134,-1.4999999999999996,32.0
2022,very_bad,weekday,247.0,169.0,208.0,3042.0,2,208.0,188.5,227.5,39.0,0.0,-2.0,78.0
2023,good,weekday,30.0,10.0,21.747252747252748,31.12429792429792,91,22.0,18.0,26.0,8.0,-0.3832037472117693,-0.7240979448951856,20.0
2023,good,weekend,30.0,10.0,22.07843137254902,29.07372549019607,51,23.0,19.0,26.0,7.0,-0.5708072602534477,-0.5277601319214176,20.0
2023,normal,weekday,78.0,31.0,46.274809160305345,170.17005284791543,131,43.0,35.0,55.0,20.0,0.727128563739759,-0.606253470179662,47.0
2023,normal,weekend,78.0,31.0,46.26923076923077,195.4162895927602,52,39.0,34.0,59.25,25.25,0.6850267828071888,-0.8510724115698425,47.0
2023,bad,weekday,148.0,91.0,107.27272727272727,320.4181818181818,11,103.0,94.5,113.0,18.5,1.1888360914210825,0.40902861427474946,57.0
2023,bad,weekend,126.0,88.0,105.71428571428571,224.23809523809518,7,104.0,93.5,117.5,24.0,0.05079088942912683,-1.4980107943830174,38.0
2023,very_bad,weekday,333.0,161.0,240.0,7543.0,3,226.0,193.5,279.5,86.0,0.2884422021182718,-1.5000000000000002,172.0
2023,very_bad,weekend,161.0,161.0,161.0,,1,161.0,161.0,161.0,0.0,,,0.0
2024,good,weekday,30.0,10.0,21.544554455445546,31.190495049504953,101,22.0,18.0,26.0,8.0,-0.2076267847163948,-1.0996811513184759,20.0
2024,good,weekend,30.0,11.0,22.654545454545456,25.822895622895626,55,23.0,18.0,27.0,9.0,-0.4519954209776758,-0.829351402316556,19.0
2024,normal,weekday,77.0,31.0,43.34177215189873,107.7663096397274,79,40.0,35.0,50.0,15.0,1.141955813014497,1.0554948753698747,46.0
2024,normal,weekend,75.0,31.0,45.14705882352941,146.43226381461673,34,41.5,35.25,50.0,14.75,0.9152296007492403,-0.09978612740105008,44.0
2024,bad,weekday,137.0,83.0,106.0,513.3333333333334,4,102.0,95.0,113.0,18.0,0.5718638615611799,-0.966328217237308,54.0
2024,bad,weekend,116.0,104.0,108.0,48.0,3,104.0,104.0,110.0,6.0,0.7071067811865475,-1.5,12.0
2024,very_bad,weekday,277.0,152.0,214.5,7812.5,2,214.5,183.25,245.75,62.5,0.0,-2.0,125.0
