,지점명,측정일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),합계 일사량(MJ/m2),평균 전운량(1/10),미세먼지_평균,미세먼지_최소,미세먼지_최대,미세먼지_표준편차,초미세먼지_평균,초미세먼지_최소,초미세먼지_최대,초미세먼지_표준편차
0,,2014-01-01,,,,,,,,116.75,96.0,142.0,8.14,26.98,21.0,53.0,6.28
1,,2014-01-02,,,,,,,,55.08,43.0,77.0,7.51,21.15,15.0,30.0,4.31
2,,2014-01-03,,,,,,,,61.85,52.0,78.0,6.42,28.15,19.0,41.0,5.47
3,,2014-01-04,,,,,,,,47.75,39.0,64.0,6.65,22.5,15.0,36.0,4.53
4,,2014-01-05,,,,,,,,45.3,36.0,68.0,6.03,23.78,18.0,34.0,4.05
5,,2014-01-06,,,,,,,,70.75,57.0,101.0,10.05,39.8,27.0,55.0,6.82
6,,2014-01-07,,,,,,,,88.88,69.0,115.0,11.48,51.48,37.0,80.0,9.76
7,,2014-01-08,,,,,,,,70.53,47.0,88.0,8.98,41.28,29.0,64.0,8.47
8,,2014-01-09,,,,,,,,21.2,16.0,35.0,3.9,8.26,4.0,15.0,2.28
9,,2014-01-10,,,,,,,,36.83,30.0,47.0,4.74,19.6,13.0,29.0,3.79
10,,2014-01-11,,,,,,,,53.72,42.0,70.0,7.19,30.28,20.0,45.0,5.92
11,,2014-01-12,,,,,,,,61.26,50.0,79.0,6.88,29.95,12.0,44.0,6.8
12,,2014-01-13,,,,,,,,29.15,21.0,43.0,4.56,12.51,9.0,19.0,2.58
13,,2014-01-14,,,,,,,,43.7,37.0,69.0,5.91,22.2,15.0,29.0,3.47
14,,2014-01-15,,,,,,,,59.05,48.0,84.0,7.08,31.1,21.0,43.0,4.91
15,,2014-01-16,,,,,,,,100.62,78.0,135.0,15.01,56.18,36.0,79.0,9.96
16,,2014-01-17,,,,,,,,120.78,95.0,158.0,14.47,68.5,49.0,105.0,12.12
17,,2014-01-18,,,,,,,,58.12,51.0,74.0,5.44,27.38,21.0,40.0,4.44
18,,2014-01-19,,,,,,,,50.05,42.0,62.0,4.8,26.18,19.0,37.0,3.96
19,,2014-01-20,,,,,,,,66.88,51.0,85.0,7.72,37.15,26.0,64.0,7.2
20,,2014-01-21,,,,,,,,104.38,80.0,129.0,8.98,65.42,45.0,82.0,8.14
21,,2014-01-22,,,,,,,,96.55,72.0,114.0,9.47,60.9,43.0,79.0,8.5
22,,2014-01-23,,,,,,,,59.45,40.0,78.0,7.92,37.65,26.0,55.0,7.06
23,,2014-01-24,,,,,,,,65.85,39.0,97.0,11.29,42.0,26.0,67.0,9.21
24,,2014-01-25,,,,,,,,53.8,39.0,70.0,7.87,34.2,23.0,64.0,8.51
25,,2014-01-26,,,,,,,,36.48,29.0,50.0,4.92,18.82,12.0,28.0,3.57
26,,2014-01-27,,,,,,,,40.78,29.0,57.0,6.61,22.52,17.0,36.0,4.81
27,,2014-01-28,,,,,,,,33.0,26.0,51.0,5.84,15.02,9.0,28.0,4.29
28,,2014-01-29,,,,,,,,44.92,33.0,63.0,7.18,20.72,15.0,33.0,4.62
29,,2014-01-30,,,,,,,,42.1,30.0,60.0,5.94,22.58,16.0,38.0,5.4
30,,2014-01-31,,,,,,,,24.9,18.0,37.0,4.34,12.4,8.0,21.0,3.03
31,,2014-02-01,,,,,,,,27.4,21.0,38.0,4.51,15.56,9.0,24.0,3.99
32,,2014-02-02,,,,,,,,21.95,16.0,32.0,3.88,14.54,11.0,23.0,3.2
33,,2014-02-03,,,,,,,,61.22,45.0,86.0,6.92,15.05,8.0,23.0,3.52
34,,2014-02-04,,,,,,,,33.72,23.0,45.0,4.02,11.5,8.0,16.0,2.38
35,,2014-02-05,,,,,,,,43.4,32.0,70.0,6.08,18.73,13.0,25.0,3.16
36,,2014-02-06,,,,,,,,49.8,36.0,79.0,7.95,25.12,17.0,37.0,4.89
37,,2014-02-07,,,,,,,,20.27,11.0,40.0,6.1,10.72,5.0,20.0,3.41
38,,2014-02-08,,,,,,,,11.42,8.0,20.0,3.12,7.18,5.0,12.0,1.87
39,,2014-02-09,,,,,,,,20.62,13.0,30.0,4.41,14.6,7.0,23.0,3.28
40,,2014-02-10,,,,,,,,28.82,19.0,42.0,6.18,18.45,12.0,25.0,3.45
41,,2014-02-11,,,,,,,,21.75,15.0,48.0,6.86,12.65,8.0,21.0,2.98
42,,2014-02-12,,,,,,,,25.02,17.0,39.0,5.75,15.0,10.0,25.0,3.5
43,,2014-02-13,,,,,,,,28.28,19.0,49.0,7.07,16.92,11.0,26.0,3.91
