,Area,Date,Ave_Tem,Min_Tem,Max_Tem,Precipitation,Humidity,Insolation,Air_velocity
31,서울,2014-11-01,17.3,15.1,22.9,0.0,63.4,9.77,2.2
212,서울,2015-05-01,21.0,15.9,27.2,0.0,58.8,22.13,2.5
225,서울,2015-05-14,20.4,15.3,26.6,0.0,63.8,19.15,3.3
250,서울,2015-06-08,22.4,18.2,27.8,0.0,54.9,14.74,2.3
340,서울,2015-09-06,22.2,19.3,26.2,0.0,60.4,14.4,3.7
346,서울,2015-09-12,19.2,15.5,24.0,0.0,60.4,11.82,1.9
347,서울,2015-09-13,20.2,15.2,26.0,0.0,54.1,20.08,2.6
348,서울,2015-09-14,22.1,16.4,27.8,0.0,61.1,14.36,1.6
350,서울,2015-09-16,21.6,16.0,26.7,0.0,45.5,19.62,2.5
351,서울,2015-09-17,21.4,15.5,27.6,0.0,46.4,19.7,3.1
357,서울,2015-09-23,22.0,19.0,26.1,0.0,57.9,7.24,1.7
360,서울,2015-09-26,22.4,17.9,28.0,0.0,54.5,14.47,1.8
364,서울,2015-09-30,21.3,19.4,26.2,0.0,45.3,9.74,2.6
372,서울,2015-10-08,20.1,15.7,26.4,0.0,61.1,14.45,2.3
586,서울,2016-05-09,20.2,16.3,25.4,0.0,43.0,17.4,2.0
591,서울,2016-05-14,20.2,15.1,26.9,0.0,47.1,23.78,2.3
605,서울,2016-05-28,21.7,17.2,28.0,0.0,56.1,23.9,2.1
606,서울,2016-05-29,21.5,17.2,27.6,0.0,56.1,20.67,2.3
608,서울,2016-05-31,21.6,17.4,27.6,0.0,63.6,21.99,2.5
611,서울,2016-06-03,22.2,17.6,27.7,0.0,48.1,22.84,2.2
612,서울,2016-06-04,21.2,18.2,26.3,0.0,51.8,11.24,1.6
633,서울,2016-06-25,22.8,19.2,26.7,0.0,63.1,18.54,2.8
698,서울,2016-08-29,22.2,17.4,27.1,0.0,54.5,16.17,2.0
699,서울,2016-08-30,20.6,17.9,24.5,0.0,60.4,12.02,3.3
719,서울,2016-09-19,21.9,18.2,27.8,0.0,53.3,16.12,3.5
720,서울,2016-09-20,20.6,15.4,26.8,0.0,41.1,19.23,3.1
722,서울,2016-09-22,21.9,17.5,27.2,0.0,46.3,15.24,1.8
723,서울,2016-09-23,21.4,16.4,27.9,0.0,57.9,14.3,1.6
729,서울,2016-09-29,20.4,18.2,24.8,0.0,64.4,12.55,3.0
735,서울,2016-10-05,21.1,17.5,27.2,0.0,61.9,11.59,3.0
751,서울,2016-10-21,17.9,15.7,22.0,0.0,58.6,8.17,3.0
944,서울,2017-05-02,20.7,15.2,28.0,0.0,42.0,20.21,2.1
947,서울,2017-05-05,20.9,15.5,27.0,0.0,53.4,23.38,3.2
961,서울,2017-05-19,21.1,15.1,27.9,0.0,42.6,26.72,2.6
962,서울,2017-05-20,20.9,15.4,27.3,0.0,44.0,24.18,2.4
963,서울,2017-05-21,21.5,16.0,27.6,0.0,48.1,26.62,2.3
964,서울,2017-05-22,21.8,15.9,28.0,0.0,53.6,22.27,2.0
974,서울,2017-06-01,23.3,20.0,27.0,0.0,51.8,21.83,3.1
976,서울,2017-06-03,20.5,16.1,26.5,0.0,44.0,27.88,3.0
985,서울,2017-06-12,22.1,17.0,28.0,0.0,45.5,24.22,2.8
986,서울,2017-06-13,21.5,18.3,25.9,0.0,63.0,21.29,2.4
987,서울,2017-06-14,21.8,17.8,26.8,0.0,63.0,25.27,2.8
1061,서울,2017-08-27,22.7,19.0,26.7,0.0,62.0,10.32,1.4
1063,서울,2017-08-29,19.5,17.0,24.0,0.0,51.4,21.08,3.2
