year,season,grade,day_type,Max,Min,Mean,Variance,Count,Median,Q1,Q3,IQR,Skewness,Kurtosis,Range
2021,Spring,good,weekday,30.0,16.0,24.0,19.77777777777777,10,24.0,22.5,26.75,4.25,-0.4793718166584039,-0.656230273955309,14.0
2021,Spring,good,weekend,26.0,14.0,20.75,28.916666666666668,4,21.5,17.75,24.5,6.75,-0.33137920698487916,-1.4285144798146319,12.0
2021,Spring,normal,weekday,78.0,35.0,54.18181818181818,136.278409090909,33,55.0,44.0,59.0,15.0,0.27857120013743075,-0.621607946805403,43.0
2021,Spring,normal,weekend,74.0,31.0,47.470588235294116,136.76470588235293,17,46.0,39.0,52.0,13.0,0.687850199180294,-0.19042336108220637,43.0
2021,Spring,bad,weekday,132.0,81.0,106.07142857142857,356.68681318681325,14,105.5,89.0,126.25,37.25,0.12965522054572448,-1.550968474133511,51.0
2021,Spring,bad,weekend,117.0,105.0,109.66666666666667,41.33333333333335,3,107.0,106.0,112.0,6.0,0.630903856710621,-1.5000000000000024,12.0
2021,Spring,very_bad,weekday,389.0,156.0,238.2,10441.7,5,189.0,159.0,298.0,139.0,0.6475266607227542,-1.2207010176180306,233.0
2021,Spring,very_bad,weekend,384.0,384.0,384.0,,1,384.0,384.0,384.0,0.0,,,0.0
2021,Summer,good,weekday,30.0,16.0,23.939393939393938,15.74621212121211,33,24.0,21.0,27.0,6.0,-0.10380127774079868,-1.1752274321410034,14.0
2021,Summer,good,weekend,28.0,15.0,21.23076923076923,21.858974358974354,13,22.0,17.0,25.0,8.0,0.12326766271938984,-1.4134654844729575,13.0
2021,Summer,normal,weekday,62.0,32.0,43.90909090909091,76.52272727272722,33,42.0,37.0,52.0,15.0,0.4340082912969464,-1.0023631844800531,30.0
2021,Summer,normal,weekend,72.0,32.0,46.53846153846154,181.6025641025641,13,42.0,37.0,57.0,20.0,0.7749253360798212,-0.9051244815371864,40.0
2021,Fall,good,weekday,28.0,9.0,18.65714285714286,23.46722689075629,35,18.0,15.0,22.5,7.5,0.29769509667681043,-0.8456383938626564,19.0
2021,Fall,good,weekend,30.0,10.0,18.8125,35.629166666666656,16,19.5,13.75,24.0,10.25,0.1449530862172619,-1.1620532502632228,20.0
2021,Fall,normal,weekday,74.0,31.0,45.333333333333336,160.05797101449275,24,42.0,34.5,51.75,17.25,0.7583503023892068,-0.4051572840048059,43.0
2021,Fall,normal,weekend,63.0,32.0,42.90909090909091,114.09090909090905,11,39.0,36.0,47.5,11.5,0.9086742856581146,-0.6844199298423832,31.0
2021,Fall,bad,weekday,102.0,102.0,102.0,,1,102.0,102.0,102.0,0.0,,,0.0
2021,Fall,bad,weekend,140.0,140.0,140.0,,1,140.0,140.0,140.0,0.0,,,0.0
2021,Winter,good,weekday,30.0,19.0,24.25,19.357142857142858,8,23.5,20.75,27.75,7.0,0.24074115790917539,-1.4893860377718169,11.0
2021,Winter,good,weekend,29.0,19.0,24.125,13.553571428571429,8,24.5,21.5,26.5,5.0,-0.08751619471754603,-1.3856488931244044,10.0
2021,Winter,normal,weekday,78.0,31.0,50.69565217391305,195.50531400966187,46,50.0,37.0,62.25,25.25,0.21252864859433157,-1.2430452851561886,47.0
2021,Winter,normal,weekend,75.0,32.0,50.666666666666664,268.42424242424244,12,45.0,39.0,69.0,30.0,0.4723877914078868,-1.4028939376707055,43.0
2021,Winter,bad,weekday,146.0,81.0,101.14285714285714,486.47619047619054,7,99.0,86.5,104.5,18.0,1.2765073801562845,0.5453021988172169,65.0
2021,Winter,bad,weekend,123.0,99.0,111.625,59.69642857142862,8,111.5,107.5,116.5,9.0,-0.14319575384089564,-0.908982556628255,24.0
2022,Spring,good,weekday,30.0,13.0,25.0,31.230769230769226,14,26.5,24.25,28.75,4.5,-1.2266869384011159,0.25411924579582124,17.0
2022,Spring,good,weekend,27.0,15.0,22.4,23.799999999999997,5,25.0,20.0,25.0,5.0,-0.6898348773855144,-1.0299237341995633,12.0
2022,Spring,normal,weekday,77.0,32.0,48.170731707317074,136.0951219512195,41,45.0,39.0,58.0,19.0,0.6088583330072826,-0.5732904565529933,45.0
2022,Spring,normal,weekend,67.0,31.0,43.523809523809526,114.66190476190475,21,39.0,35.0,50.0,15.0,0.6764373312869144,-0.6052556573727172,36.0
2022,Spring,bad,weekday,88.0,88.0,88.0,,1,88.0,88.0,88.0,0.0,,,0.0
2022,Spring,bad,weekend,111.0,111.0,111.0,,1,111.0,111.0,111.0,0.0,,,0.0
2022,Spring,very_bad,weekday,169.0,169.0,169.0,,1,169.0,169.0,169.0,0.0,,,0.0
2022,Summer,good,weekday,29.0,8.0,21.18,31.334285714285713,50,22.5,18.0,26.0,8.0,-0.4722957121549994,-0.9024335778954127,21.0
2022,Summer,good,weekend,29.0,13.0,23.65,16.239473684210523,20,24.5,22.5,26.25,3.75,-0.9903019384201612,0.574607166820007,16.0
2022,Summer,normal,weekday,41.0,31.0,34.888888888888886,11.111111111111105,9,34.0,33.0,38.0,5.0,0.6824464321926696,-0.8276437499999978,10.0
2022,Summer,normal,weekend,47.0,33.0,38.0,28.8,6,37.0,33.75,40.25,6.5,0.7059293355937631,-0.7118055555555554,14.0
2022,Fall,good,weekday,30.0,15.0,24.0,21.03225806451613,32,25.0,19.0,27.25,8.25,-0.4750187658399708,-1.0440362828860703,15.0
2022,Fall,good,weekend,29.0,10.0,20.166666666666668,32.970588235294116,18,21.5,14.75,23.5,8.75,-0.1941779648822605,-0.9650632121664025,19.0
2022,Fall,normal,weekday,69.0,31.0,43.208333333333336,111.3894927536232,24,40.0,36.0,50.5,14.5,0.8273378575856724,-0.04405245090200971,38.0
2022,Fall,normal,weekend,64.0,31.0,39.7,104.0111111111111,10,36.0,34.0,43.25,9.25,1.4633753466091024,1.2033435400411232,33.0
2022,Winter,good,weekday,30.0,22.0,26.823529411764707,9.904411764705886,17,28.0,24.0,30.0,6.0,-0.3410458127248882,-1.4884590519557601,8.0
2022,Winter,good,weekend,30.0,16.0,23.666666666666668,20.66666666666667,6,24.0,23.0,25.0,2.0,-0.44876641214810675,-0.1508428720083228,14.0
2022,Winter,normal,weekday,69.0,31.0,42.8974358974359,130.83130904183534,39,38.0,33.5,50.5,17.0,0.8459657684278611,-0.5451409361053963,38.0
2022,Winter,normal,weekend,79.0,32.0,47.68181818181818,168.6082251082251,22,44.5,36.25,52.0,15.75,0.8759995680092791,-0.13639581112260935,47.0
2022,Winter,bad,weekday,104.0,97.0,100.5,24.5,2,100.5,98.75,102.25,3.5,0.0,-2.0,7.0
2022,Winter,bad,weekend,129.0,97.0,113.0,512.0,2,113.0,105.0,121.0,16.0,0.0,-2.0,32.0
2022,Winter,very_bad,weekday,247.0,247.0,247.0,,1,247.0,247.0,247.0,0.0,,,0.0
2023,Spring,good,weekday,28.0,15.0,21.5,32.333333333333336,4,21.5,18.0,25.0,7.0,0.0,-1.449038154958019,13.0
2023,Spring,good,weekend,28.0,11.0,23.0,46.5,5,25.0,25.0,26.0,1.0,-1.3751186879340949,0.10353798126951075,17.0
2023,Spring,normal,weekday,78.0,31.0,50.770833333333336,147.03147163120565,48,51.0,40.0,60.25,20.25,0.12410698012812658,-0.9001213868635971,47.0
2023,Spring,normal,weekend,68.0,33.0,54.333333333333336,139.52380952380955,15,59.0,46.5,63.5,17.0,-0.5689829797281627,-1.0383056296520632,35.0
2023,Spring,bad,weekday,148.0,91.0,110.75,392.2142857142857,8,106.0,95.25,120.0,24.75,0.8067681371094285,-0.5163481203211253,57.0
2023,Spring,bad,weekend,118.0,88.0,102.33333333333333,173.06666666666666,6,101.0,91.25,113.75,22.5,0.15477704115589816,-1.5521793632968575,30.0
2023,Spring,very_bad,weekday,333.0,161.0,240.0,7543.0,3,226.0,193.5,279.5,86.0,0.2884422021182718,-1.5000000000000002,172.0
2023,Summer,good,weekday,30.0,10.0,21.105263157894736,30.79943100995733,38,21.5,18.0,25.0,7.0,-0.43391994805027345,-0.6236131284685977,20.0
2023,Summer,good,weekend,29.0,10.0,22.11764705882353,26.985294117647058,17,22.0,20.0,26.0,6.0,-0.7805444268119887,0.15772616917491344,19.0
2023,Summer,normal,weekday,65.0,31.0,38.21739130434783,81.81422924901182,23,33.0,33.0,39.0,6.0,1.627934143166111,1.741884409840794,34.0
2023,Summer,normal,weekend,39.0,31.0,35.22222222222222,10.444444444444445,9,34.0,33.0,38.0,5.0,0.07147772522204081,-1.7069587483023994,8.0
2023,Fall,good,weekday,30.0,10.0,22.147058823529413,35.523172905525854,34,22.0,18.25,27.75,9.5,-0.37340660219787,-0.8753705932081504,20.0
2023,Fall,good,weekend,30.0,11.0,21.043478260869566,28.31620553359684,23,21.0,18.0,25.0,7.0,-0.15430164790693937,-0.7721010131618438,19.0
2023,Fall,normal,weekday,46.0,31.0,36.666666666666664,23.833333333333332,21,36.0,33.0,38.0,5.0,0.732920344683637,-0.6139341777103993,15.0
2023,Fall,normal,weekend,50.0,31.0,38.25,55.642857142857146,8,37.0,32.0,40.75,8.75,0.7299123976311486,-0.9826725616759577,19.0
2023,Fall,bad,weekday,92.0,92.0,92.0,,1,92.0,92.0,92.0,0.0,,,0.0
2023,Winter,good,weekday,30.0,14.0,22.533333333333335,25.838095238095246,15,23.0,19.5,25.5,6.0,-0.3766350104217301,-0.7716564889613542,16.0
2023,Winter,good,weekend,30.0,16.0,25.166666666666668,25.366666666666667,6,27.0,24.0,27.75,3.75,-1.0845458018447847,-0.12228532551919047,14.0
