STA_LOC,RENT_NM,STAT_DATA,RENT_CNT,RTN_CNT,START_INDEX,END_INDEX,RNUM
마포구,108. 서교동 사거리,2022-07-01,98,93,0,0,1
양천구,729. 서부식자재마트 건너편,2022-07-01,107,126,0,0,2
양천구,731. 서울시 도로환경관리센터,2022-07-01,102,85,0,0,3
양천구,732. 신월중학교,2022-07-01,74,59,0,0,4
양천구,733. 신정이펜하우스314동,2022-07-01,36,17,0,0,5
양천구,734. 신트리공원 입구,2022-07-01,132,144,0,0,6
양천구,735. 영도초등학교,2022-07-01,138,167,0,0,7
양천구,736. 오솔길공원,2022-07-01,43,58,0,0,8
양천구,737. 장수공원,2022-07-01,43,42,0,0,9
양천구,739. 신월사거리,2022-07-01,63,68,0,0,10
양천구,740. 으뜸공원,2022-07-01,58,72,0,0,11
양천구,741. 화곡로 입구 교차로,2022-07-01,12,16,0,0,12
양천구,742. 등촌역 5번 출구 뒤,2022-07-01,67,76,0,0,13
양천구,743. 현대6차아파트 101동 옆,2022-07-01,44,48,0,0,14
양천구,744. 신목동역 2번 출구,2022-07-01,158,138,0,0,15
양천구,745. 강서초등학교,2022-07-01,27,44,0,0,16
양천구,746. 목동2단지 상가,2022-07-01,187,162,0,0,17
양천구,747. 목동3단지 상가,2022-07-01,106,108,0,0,18
양천구,748. 목동운동장,2022-07-01,33,27,0,0,19
광진구,505. 자양사거리 광진아크로텔 앞,2022-07-01,137,133,0,0,20
은평구,934. 신사동 성당,2022-07-01,15,8,0,0,21
은평구,937. 상림마을 롯데캐슬2단지 옆,2022-07-01,2,4,0,0,22
은평구,938. 금암 문화공원,2022-07-01,6,5,0,0,23
은평구,939. 은평구청 교차로,2022-07-01,50,51,0,0,24
은평구,941. 은평뉴타운 도서관,2022-07-01,19,8,0,0,25
은평구,942. 상림마을 생태공원,2022-07-01,25,19,0,0,26
성동구,506. 금호 어울림 아파트 앞,2022-07-01,35,27,0,0,27
은평구,945. 기자촌 사거리 A,2022-07-01,5,4,0,0,28
은평구,946. 독바위역 ,2022-07-01,36,31,0,0,29
은평구,947. 연신내 선일하이츠빌 정류소,2022-07-01,15,14,0,0,30
은평구,948. 디지털미디어 시티역 4번출구(DMC역),2022-07-01,23,24,0,0,31
은평구,949. 연신내역 1번 출구 ,2022-07-01,52,62,0,0,32
은평구,950. 구산역 2번 출구 예일여고 버스정류장,2022-07-01,74,71,0,0,33
은평구,952. 서울연신중학교,2022-07-01,10,14,0,0,34
은평구,953. 서울연신초등학교,2022-07-01,16,23,0,0,35
성동구,507. 성수아이에스비즈타워 앞,2022-07-01,89,88,0,0,36
강동구,1023. 한국종합기술사옥 앞,2022-07-01,138,123,0,0,37
강동구,1024.  강동구청 앞,2022-07-01,131,128,0,0,38
강동구,1025. 상일초등학교,2022-07-01,41,33,0,0,39
강동구,1026. 대명초교 입구 교차로,2022-07-01,39,36,0,0,40
강동구,1027. 프라자 아파트 앞,2022-07-01,45,42,0,0,41
강동구,1028. 포레스 주상복합 빌딩,2022-07-01,61,65,0,0,42
강동구,1029. 성내어울터,2022-07-01,126,126,0,0,43
강동구,1030. 미호 플랜트 앞,2022-07-01,57,63,0,0,44
강동구,1031. 올림픽로 836(아리수로),2022-07-01,29,43,0,0,45
강동구,1032. 선사고등학교,2022-07-01,27,26,0,0,46
성동구,508. 성수아카데미타워 앞,2022-07-01,109,90,0,0,47
강동구,1033. 고덕동 아남아파트,2022-07-01,37,42,0,0,48
강동구,1034. 고덕동 래미안 힐스테이트,2022-07-01,16,8,0,0,49
강동구,1035. 고덕역 4번출구,2022-07-01,147,76,0,0,50
강동구,1036. 고덕동 주양쇼핑,2022-07-01,51,48,0,0,51
강동구,1037. 강일리버파크 6단지,2022-07-01,21,22,0,0,52
강동구,1038. 강일 다솜 어린이 공원,2022-07-01,12,17,0,0,53
강동구,1039. 고덕초등학교,2022-07-01,7,8,0,0,54
강동구,1041. 묘곡초등학교,2022-07-01,30,30,0,0,55
강동구,1042. 강일리버파크 2~5단지,2022-07-01,29,34,0,0,56
성동구,509. 이마트 버스정류소 옆,2022-07-01,215,218,0,0,57
강동구,1044. 굽은다리역,2022-07-01,184,180,0,0,58
강서구,1150. 송정역 1번출구,2022-07-01,91,92,0,0,59
강서구,1151. 마곡역1번출구,2022-07-01,162,130,0,0,60
강서구,1152. 마곡역교차로,2022-07-01,227,207,0,0,61
강서구,"1153. 발산역 1번, 9번 인근 대여소",2022-07-01,388,387,0,0,62
강서구,1155. 기쁜우리복지관,2022-07-01,92,108,0,0,63
강서구,1157. 강서구청,2022-07-01,152,190,0,0,64
성동구,510. 뚝도아리수정수센터 버스정류소 옆,2022-07-01,34,30,0,0,65
송파구,1251. 석촌역 2번출구,2022-07-01,171,169,0,0,66
송파구,1253. 오금역 3번 출구 뒤,2022-07-01,36,36,0,0,67
송파구,1256. 문정현대아파트 교차로,2022-07-01,33,34,0,0,68
송파구,1257. 가락시장역 사거리,2022-07-01,64,55,0,0,69
송파구,1258. 가락미륭아파트 앞,2022-07-01,10,9,0,0,70
송파구,1259. 방이역 1번출구,2022-07-01,73,76,0,0,71
송파구,1260. 방이동 한양3차아파트 옆,2022-07-01,70,74,0,0,72
성동구,511. 서울숲역 5번 출구 옆,2022-07-01,93,80,0,0,73
송파구,1262. 송파여성문화회관 앞,2022-07-01,117,125,0,0,74
송파구,1263. 장지공영차고지,2022-07-01,18,19,0,0,75
송파구,1264. 천호역 10번 출구 앞,2022-07-01,204,191,0,0,76
송파구,1265. 문정동 근린공원,2022-07-01,74,59,0,0,77
송파구,1266. 문정동 글샘 공원,2022-07-01,55,38,0,0,78
송파구,1267. 올림픽공원 남2문 앞,2022-07-01,52,45,0,0,79
송파구,1268. 몽촌토성역 1번출구 옆,2022-07-01,72,89,0,0,80
송파구,1269. 리센츠아파트 ,2022-07-01,90,74,0,0,81
송파구,1271. 송파도서관,2022-07-01,38,39,0,0,82
성동구,512. 뚝섬역 1번 출구 옆,2022-07-01,136,137,0,0,83
송파구,1274. 영파여고 앞,2022-07-01,74,70,0,0,84
중랑구,1442. 중랑구청 중화동 별관 앞,2022-07-01,96,113,0,0,85
중랑구,1444. 면목4치안센터,2022-07-01,44,56,0,0,86
중랑구,1445. 용마지구대 A,2022-07-01,6,14,0,0,87
중랑구,1446. 중랑전화국 교차로,2022-07-01,77,93,0,0,88
중랑구,1447. 면목역 3번출구,2022-07-01,112,111,0,0,89
중랑구,1448. 코스트코 상봉점,2022-07-01,91,92,0,0,90
마포구,109. 제일빌딩 앞,2022-07-01,67,53,0,0,91
마포구,400. 상암한화오벨리스크 1차 앞,2022-07-01,51,63,0,0,92
강북구,1526. 강북종합시장 앞,2022-07-01,38,33,0,0,93
강북구,1527. 미아역 1번 출구 뒤,2022-07-01,46,47,0,0,94
강북구,1528. 삼각산동 주민센터,2022-07-01,31,17,0,0,95
강북구,1529. 미아동 한국전력공사,2022-07-01,78,71,0,0,96
강북구,1530. 광산사거리,2022-07-01,79,78,0,0,97
강북구,1531. 미아사거리 1번 출구,2022-07-01,116,101,0,0,98
강북구,1532. 번3동 주민센터 교차로,2022-07-01,27,36,0,0,99
강북구,"1533. 번동 주공3, 4단지 교차로",2022-07-01,43,35,0,0,100
강북구,1535. 효성인텔리안 앞,2022-07-01,75,80,0,0,101
성동구,513. 뚝섬역 5번 출구 정류소 옆,2022-07-01,75,73,0,0,102
강북구,1536. 번동 두산위브 101동 옆,2022-07-01,30,23,0,0,103
노원구,1643. 태릉입구역 8번출구,2022-07-01,92,81,0,0,104
노원구,1646. 삼육대 입구,2022-07-01,15,17,0,0,105
노원구,1650. 중계근린공원내,2022-07-01,140,139,0,0,106
노원구,1651. 상계동 우방유쉘아파트 앞,2022-07-01,48,44,0,0,107
성동구,514. 성수사거리 버스정류장 앞,2022-07-01,102,103,0,0,108
노원구,1652. 파르코 앞,2022-07-01,23,24,0,0,109
노원구,1653. 노원역1번출구,2022-07-01,207,206,0,0,110
노원구,1654. 당고개입구 오거리,2022-07-01,25,32,0,0,111
노원구,1655. 공릉1단지아파트,2022-07-01,92,89,0,0,112
노원구,1656. 중앙하이츠 아파트 입구,2022-07-01,94,76,0,0,113
노원구,1657. 노원구청 ,2022-07-01,113,88,0,0,114
노원구,1659. 중계동 을지중학교,2022-07-01,25,26,0,0,115
노원구,1660. 서울시립과학관,2022-07-01,7,11,0,0,116
도봉구,1713. 쌍문동 이안아파트 앞,2022-07-01,22,11,0,0,117
광진구,515. 광양중학교 앞,2022-07-01,28,32,0,0,118
도봉구,1714. 도봉문화정보도서관 삼거리,2022-07-01,23,3,0,0,119
도봉구,1715. 서울특별시교육청도봉도서관,2022-07-01,32,31,0,0,120
